Date,Open,High,Low,Close*,Adj Close**,Volume
"Oct 18, 2021",82.6,83.87,81.84,82.44,82.44,277953
"Oct 15, 2021",81.48,82.66,81.39,82.28,82.28,277953
"Oct 14, 2021",80.59,81.68,80.38,81.31,81.31,399813
"Oct 13, 2021",80.58,81.04,79.42,80.44,80.44,487220
"Oct 12, 2021",80.5,81.62,79.47,80.64,80.64,598181
"Oct 11, 2021",79.59,82.18,79.55,80.52,80.52,653756
"Oct 08, 2021",78.86,80.11,78.63,79.35,79.35,662010
"Oct 07, 2021",77,78.89,74.96,78.3,78.3,545008
"Oct 06, 2021",79.04,79.78,76.83,77.43,77.43,459055
"Oct 05, 2021",77.58,79.48,77.47,78.93,78.93,449617
"Oct 04, 2021",75.9,78.38,75.32,77.62,77.62,458006
"Oct 01, 2021",75.12,75.99,74.23,75.88,75.88,388996
"Sep 30, 2021",74.78,76.07,73.14,75.03,75.03,583189
"Sep 29, 2021",74.38,75.79,73.74,74.83,74.83,424193
"Sep 28, 2021",75.43,76.67,74.24,75.29,75.29,476143
"Sep 27, 2021",74.19,75.75,74.16,75.45,75.45,417829
"Sep 24, 2021",73.24,74.27,72.81,73.98,73.98,350382
"Sep 23, 2021",71.97,73.5,71.61,73.3,73.3,403405
"Sep 22, 2021",70.85,72.3,70.64,72.23,72.23,381061
"Sep 21, 2021",70.59,71.63,69.67,70.56,70.56,393403
"Sep 20, 2021",71.92,72.08,69.86,70.29,70.29,75837
"Sep 17, 2021",72.62,72.72,71.21,71.97,71.97,119933
"Sep 16, 2021",72.65,72.99,71.53,72.61,72.61,298412
"Sep 15, 2021",70.76,73.14,70.65,72.61,72.61,418665
"Sep 14, 2021",70.64,71.22,69.98,70.46,70.46,414231
"Sep 13, 2021",69.74,70.97,69.51,70.45,70.45,390939
"Sep 10, 2021",67.97,69.96,67.68,69.72,69.72,411079
"Sep 09, 2021",69.36,69.89,67.56,68.14,68.14,556451
"Sep 08, 2021",68.37,69.75,68.31,69.3,69.3,389325
"Sep 07, 2021",69.11,69.48,67.64,68.35,68.35,481704
"Sep 03, 2021",69.76,70.53,69.05,69.29,69.29,313086
"Sep 02, 2021",68.29,70.61,67.84,69.99,69.99,403314
"Sep 01, 2021",68.55,69.24,67.12,68.59,68.59,399497
"Aug 31, 2021",69.18,69.34,68.16,68.5,68.5,325853
"Aug 30, 2021",69.3,69.64,67.67,69.21,69.21,360797
"Aug 27, 2021",67.75,69.05,67.52,68.74,68.74,326056
"Aug 26, 2021",68,68.31,67.02,67.42,67.42,344286
"Aug 25, 2021",67.63,68.54,66.92,68.36,68.36,353742
"Aug 24, 2021",65.54,67.8,65.41,67.54,67.54,335888
"Aug 23, 2021",61.96,66,61.74,65.64,65.64,397290
"Aug 20, 2021",64.05,64.1,62.11,62.32,62.32,365009
"Aug 19, 2021",64.58,64.76,62.63,63.69,63.69,88237
"Aug 18, 2021",66.58,67.48,64.34,65.46,65.46,121197
"Aug 17, 2021",67.43,67.72,66.33,66.59,66.59,235303
"Aug 16, 2021",68.13,68.14,65.73,67.29,67.29,334844
"Aug 13, 2021",68.91,69.22,67.77,68.44,68.44,272033
"Aug 12, 2021",69.36,69.62,68.46,69.09,69.09,352465
"Aug 11, 2021",68.51,69.45,66.67,69.25,69.25,513292
"Aug 10, 2021",66.85,68.9,66.56,68.29,68.29,452126
"Aug 09, 2021",67.88,67.9,65.15,66.48,66.48,598381
"Aug 06, 2021",69.14,70.18,67.8,68.28,68.28,537136
"Aug 05, 2021",68.06,69.35,67.61,69.09,69.09,416331
"Aug 04, 2021",70.32,70.81,67.85,68.15,68.15,582924
"Aug 03, 2021",71.52,71.96,69.19,70.56,70.56,509938
"Aug 02, 2021",73.91,73.95,70.55,71.26,71.26,448200
"Jul 30, 2021",73.41,74.23,72.93,73.95,73.95,303700
"Jul 29, 2021",72.4,73.68,72.26,73.62,73.62,294462
"Jul 28, 2021",71.9,72.6,71.7,72.39,72.39,318911
"Jul 27, 2021",72.22,72.33,71.08,71.65,71.65,333123
"Jul 26, 2021",72.18,72.43,70.56,71.91,71.91,395743
"Jul 23, 2021",71.71,72.21,71.39,72.07,72.07,274778
"Jul 22, 2021",70.22,72.03,69.86,71.91,71.91,435181
"Jul 21, 2021",66.45,70.51,66.44,70.3,70.3,503030
"Jul 20, 2021",66.6,67.65,65.21,67.42,67.42,561629
"Jul 19, 2021",71.49,71.67,65.63,66.42,66.42,82565
"Jul 16, 2021",71.48,72.3,70.41,71.81,71.81,133926
"Jul 15, 2021",72.96,72.96,71.4,71.65,71.65,368679
"Jul 14, 2021",75.17,75.44,72.21,73.13,73.13,528360
"Jul 13, 2021",74.18,75.52,73.68,75.25,75.25,444078
"Jul 12, 2021",74.74,74.93,73.16,74.1,74.1,397931
"Jul 09, 2021",73.26,74.76,72.72,74.56,74.56,422154
"Jul 08, 2021",72.17,73.26,70.76,72.94,72.94,529690
"Jul 07, 2021",73.85,74.86,71.07,72.2,72.2,607971
"Jul 06, 2021",75.35,76.98,72.94,73.37,73.37,714044
"Jul 02, 2021",75.02,75.62,74.41,75.16,75.16,377531
"Jul 01, 2021",73.5,76.22,73.39,75.23,75.23,615678
"Jun 30, 2021",73.47,74.14,72.82,73.47,73.47,383626
"Jun 29, 2021",72.78,73.81,71.97,72.98,72.98,321448
"Jun 28, 2021",73.99,74.45,72.62,72.91,72.91,354701
"Jun 25, 2021",73.32,74.18,72.85,74.05,74.05,364721
"Jun 24, 2021",73.28,73.61,72.32,73.3,73.3,334833
"Jun 23, 2021",72.91,74.25,72.82,73.08,73.08,429207
"Jun 22, 2021",73.41,73.95,72.94,73.06,73.06,498555
"Jun 21, 2021",71.52,73.96,71.15,73.66,73.66,123662
"Jun 18, 2021",71.1,72.17,70.16,71.64,71.64,139584
"Jun 17, 2021",71.65,72.3,69.77,71.04,71.04,373780
"Jun 16, 2021",72.45,72.99,71.61,72.15,72.15,426775
"Jun 15, 2021",71.16,72.49,70.81,72.12,72.12,336035
"Jun 14, 2021",70.65,71.78,70.65,70.88,70.88,319639
"Jun 11, 2021",70.1,71.24,69.68,70.91,70.91,563575
"Jun 10, 2021",69.76,70.65,68.68,70.29,70.29,492464
"Jun 09, 2021",70.01,70.62,69.46,69.96,69.96,410820
"Jun 08, 2021",69.29,70.27,68.47,70.05,70.05,441302
"Jun 07, 2021",69.52,70,68.93,69.23,69.23,365621
"Jun 04, 2021",68.91,69.76,68.33,69.62,69.62,326250
"Jun 03, 2021",68.76,69.4,68.19,68.81,68.81,351367
"Jun 02, 2021",67.99,69,67.78,68.83,68.83,332995
"Jun 01, 2021",66.68,68.87,66.41,67.72,67.72,570985
"May 28, 2021",66.95,67.52,66.17,66.32,66.32,390461
"May 27, 2021",66.16,66.92,65.47,66.85,66.85,337542
"May 26, 2021",66.04,66.43,65.25,66.21,66.21,376207
"May 25, 2021",66.02,66.51,65.41,66.07,66.07,497394
"May 24, 2021",63.87,66.14,63.63,66.05,66.05,466647
"May 21, 2021",61.89,64.07,61.56,63.58,63.58,530831
"May 20, 2021",63.39,63.96,61.89,62.05,62.05,524168
"May 19, 2021",65.28,65.35,61.95,63.36,63.36,101902
"May 18, 2021",66.33,67.01,64.11,65.49,65.49,167348
"May 17, 2021",65.5,66.43,64.83,66.27,66.27,268476
"May 14, 2021",63.83,65.62,63.33,65.37,65.37,383749
